numero,arquivo,linha_aproximada,categoria,sintoma,causa,correcao,teste_que_comprova,responsavel,status
1,bin/main.dart,43,sintaxe e compilacao,Error: Expected an identifier ao rodar dart run bin/main.dart,$ de 'R$' seguido de espaco inicia interpolacao sem identificador valido,Escapar o cifrao: 'Multa: R\$ ${...}',dart run bin/main.dart executa sem erro de sintaxe,<preencher>,Fechado
2,lib/utils/validador.dart,3,regras de negocio,emailValido aceita e-mails invalidos (ex: 'aluno@'),Uso de || (OU) em vez de && (E) entre as duas condicoes,Trocar || por &&: email.contains('@') && email.endsWith('.com'),validador_test.dart - 'rejeita e-mail sem dominio',<preencher>,Fechado
3,lib/utils/validador.dart,7,regras de negocio,Texto só com espacos (' ') e considerado nao vazio,Faltava .trim() antes de checar isNotEmpty,valor.trim().isNotEmpty,validador_test.dart - 'rejeita texto somente com espacos',<preencher>,Fechado
4,lib/utils/validador.dart,12,regras de negocio,"anoPublicacaoValido aceita qualquer ano, inclusive futuro",Uso de || em vez de && entre as duas condicoes,ano > 0 && ano <= atual,validador_test.dart - 'rejeita ano futuro',<preencher>,Fechado
5,lib/utils/validador.dart,16,regras de negocio,quantidadeValida aceita quantidades negativas,"Checava apenas != 0, sem exigir valor positivo",quantidade > 0,validador_test.dart - 'rejeita quantidade negativa',<preencher>,Fechado
6,lib/models/usuario.dart,17,tipos e conversoes,E-mail nunca era validado de fato,Construtor validava o campo 'nome' em vez de 'email',if (!Validador.emailValido(email)),usuario_test.dart - 'cria usuario com e-mail valido' e 'rejeita e-mail invalido',<preencher>,Fechado
7,lib/models/usuario.dart,27,regras de negocio,Usuario inativo ou no limite ainda conseguia emprestar,Uso de || em vez de && e de <= em vez de <,return ativo && quantidadeAtual < limiteEmprestimos;,usuario_test.dart - 'nao permite emprestimo no limite' e 'usuario desativado nao pode emprestar',<preencher>,Fechado
8,lib/models/usuario.dart,31,regras de negocio,desativar() deixava o usuario ativo em vez de inativo,Atribuicao errada: ativo = true dentro de desativar(),ativo = false;,usuario_test.dart - 'usuario desativado nao pode emprestar',<preencher>,Fechado
9,lib/models/usuario.dart,35,mensagem enganosa,toString() nao exibia o e-mail do usuario,Interpolacao repetia $nome duas vezes em vez de mostrar $email,String toString() => '$nome <$email>';,Nenhum teste original cobria; recomenda-se criar um,<preencher>,Fechado
10,lib/services/catalogo_service.dart,11,regras de negocio,Cadastro de livro com titulo valido lancava erro (e titulo vazio passava),Condicao sem negacao: if (Validador.textoNaoVazio(...)),if (!Validador.textoNaoVazio(livro.titulo)),catalogo_service_test.dart - 'cadastra livro valido de forma assincrona' e 'rejeita titulo vazio',<preencher>,Fechado
11,lib/services/catalogo_service.dart,19,codigo assincrono,cadastrarLivro podia terminar antes do livro ser salvo (race condition),"Chamada a repository.salvar(livro), que e Future<void>, sem await",await repository.salvar(livro);,catalogo_service_test.dart - 'cadastra livro valido de forma assincrona',<preencher>,Fechado
12,lib/services/emprestimo_service.dart,19,regras de negocio,Contagem de emprestimos ativos do usuario usava a metrica errada,Filtrava status == StatusEmprestimo.devolvido em vez de ativo,item.status == StatusEmprestimo.ativo,emprestimo_service_test.dart - testes de limite de emprestimo,<preencher>,Fechado
13,lib/services/emprestimo_service.dart,22,regras de negocio,Sistema bloqueava exatamente quem podia emprestar,Condicao sem negacao: if (usuario.podeRealizarEmprestimo(...)),if (!usuario.podeRealizarEmprestimo(ativosDoUsuario)),emprestimo_service_test.dart - 'realiza emprestimo e reduz disponibilidade',<preencher>,Fechado
14,lib/services/emprestimo_service.dart,46,sintaxe e compilacao,Erro de analise estatica/compilacao em devolver(),Uso de = (atribuicao) em vez de == (comparacao) dentro de firstWhere,_emprestimos.firstWhere((item) => item.id == emprestimoId);,emprestimo_service_test.dart - 'devolucao atualiza status e disponibilidade',<preencher>,Fechado
15,lib/services/emprestimo_service.dart,54,regras de negocio,"listarAtrasados devolvia os emprestimos em dia, nao os atrasados",Negacao (!) sobrando na condicao do where,where((emprestimo) => emprestimo.estaAtrasado(referencia)),emprestimo_service_test.dart - 'lista somente emprestimos atrasados',<preencher>,Fechado
16,lib/models/livro.dart,16,regras de negocio,Livro nascia com 1 exemplar disponivel a mais que o total,quantidadeDisponivel ?? quantidadeTotal + 1,quantidadeDisponivel ?? quantidadeTotal,livro_test.dart - 'inicia com a quantidade total disponivel',<preencher>,Fechado
17,lib/models/livro.dart,18,regras de negocio,Livro com 0 exemplares ainda aparecia como disponivel,estaDisponivel usava >= 0 em vez de > 0,quantidadeDisponivel > 0,livro_test.dart - 'fica indisponivel quando chega a zero',<preencher>,Fechado
